contact_id,first_name,last_name,email,company,industry,lead_source,job_title,country,opted_in,signup_date
f723f202-aad3-47d1-95ad-15ca8162c474,Patricia,Gill,dodsonjames@example.net,Norris LLC,Finance,Referral,Solicitor,Congo,True,2025-05-27
162942f2-bda8-4f03-8323-aff13c6544d7,Tony,Morris,diana98@example.com,Meyer PLC,Finance,Event,"Psychotherapist, dance movement",Afghanistan,True,2025-05-27
690623e9-a652-4a1b-8967-2aeb6fb0407e,Caitlin,Parker,creed@example.net,Sweeney LLC,Retail,Referral,Broadcast journalist,India,True,2025-05-27
0ee1e154-1b42-46f9-9860-4a9d20890ce3,Michael,Jennings,emilysmith@example.org,Mccormick Inc,Technology,Paid Social,"Surveyor, planning and development",Serbia,True,2025-05-27
345ec34d-6bcf-41b7-9c47-1e101d3d29d3,Rebecca,Hansen,jeffrey04@example.com,Solis Inc,Retail,Email,Pathologist,Nepal,True,2025-05-27
43efba8b-accf-49bd-a045-68f93a77eff5,Jared,Nichols,fhenry@example.com,"Jones, Jones and Washington",Finance,Web,"Journalist, newspaper",Portugal,True,2025-05-27
d96fdd57-1d2c-46c6-8a72-c13695817660,Jeffrey,Wood,wwillis@example.com,"Gill, Erickson and Riley",Technology,Referral,Jewellery designer,American Samoa,False,2025-05-27
c75200e9-f327-4b6d-89f5-f6a49fe8327a,Kelsey,Goodman,jonesgregory@example.net,Johnson and Sons,Finance,Event,"Engineer, civil (contracting)",Guatemala,True,2025-05-27
cf0a0d22-c57c-44aa-8998-c65db2ec95b0,Jessica,Griffith,nrose@example.com,Smith-English,Finance,Event,"Engineer, manufacturing systems",Tajikistan,False,2025-05-27
a4ec8572-4e10-4ac6-951f-3cbe7ab0bab1,Steven,Silva,craigmiles@example.org,Simmons LLC,Education,Event,Podiatrist,Nepal,True,2025-05-27
340d74f9-b77f-4621-87ae-6d5acd0f4d32,Nicole,Lee,xchristian@example.org,"Harvey, Chaney and Wiley",Technology,Event,Clinical biochemist,United Kingdom,False,2025-05-27
febfd5fa-a5a0-4333-915a-d5ac14eb6c25,Jeremy,Anderson,michaelbrown@example.org,"Hull, Proctor and Rose",Healthcare,Web,Corporate investment banker,Chad,True,2025-05-27
11a321c9-d80a-4a58-a46b-c6de98859b19,Alexander,White,william57@example.net,Patel-Myers,Technology,Event,Architectural technologist,Croatia,True,2025-05-27
98063e87-9526-4f77-b676-610f0c443944,Rhonda,Johnson,ilopez@example.com,"Johnson, Baker and Hernandez",Finance,Email,Technical author,Brazil,True,2025-05-27
acec80fa-ad64-48df-a82a-12fd9963aaf3,Nicole,Keith,juliethompson@example.com,Jordan LLC,Education,Email,Furniture conservator/restorer,Hungary,True,2025-05-27
9a5884d4-de09-411d-8250-0e95009ce3be,Kyle,Chapman,williamsashley@example.com,Morgan Ltd,Technology,Referral,Advertising art director,Martinique,False,2025-05-27
16c15630-c1d0-4f5c-9a9a-4aa999697cf5,Anthony,Lynn,martinezlisa@example.com,Alvarado-Bruce,Education,Web,Site engineer,Norway,True,2025-05-27
6660cca3-7ccc-49e9-995f-da3f70ea0489,Jennifer,Fuller,charlesmccoy@example.com,Moore Ltd,Finance,Web,"Therapist, art",Serbia,False,2025-05-27
43ded14e-308f-4213-8748-8cc013be80d8,Monica,Park,omassey@example.net,"Brown, Gonzalez and Cole",Retail,Web,Risk analyst,Ghana,False,2025-05-27
3f595ae7-eb4b-4636-8452-119d17576691,Emily,Mccarthy,floreserik@example.com,Winters-Johnson,Healthcare,Event,International aid/development worker,Dominican Republic,False,2025-05-27
66745a40-7e7f-4014-ad46-108847ba2def,Christopher,Moore,angel16@example.com,"Jackson, Gonzalez and Robinson",Retail,Organic Search,Writer,Madagascar,False,2025-05-27
5362d44a-1f69-4e22-b0ab-3f2e523630c2,Joseph,Moore,ramireznathaniel@example.org,"Green, Fuller and Lucas",Finance,Paid Social,"Programmer, systems",Ghana,False,2025-05-27
cf6713a7-ba34-4df0-9cac-75df74386ede,Cynthia,Jones,emccullough@example.net,Donaldson LLC,Retail,Organic Search,Aid worker,Norway,True,2025-05-27
bbefd1b3-5004-41fc-a3fc-3a0289a63890,Erik,Gross,dianemiller@example.org,"Gardner, Davis and Meza",Education,Referral,Production engineer,Moldova,False,2025-05-27
76d6ee32-07cf-416f-80e8-becc5f9b0545,Edward,Roberts,douglasjohnson@example.net,Nunez Ltd,Finance,Email,"Embryologist, clinical",Austria,False,2025-05-27
4ebfdd80-2e10-4ebd-9eaa-5de993339614,Bob,Mcconnell,marshalljulie@example.com,"Conley, Evans and Perez",Healthcare,Referral,Actuary,Mongolia,False,2025-05-27
be9f26b2-09f3-4c2b-acbc-82663ed6aaf3,Natalie,Williams,evansjoseph@example.org,Powell-Brown,Technology,Event,Personnel officer,Czech Republic,True,2025-05-27
5d7dd5b9-eb1a-469a-b84e-d65e108b99a8,Jennifer,Taylor,hholt@example.org,"Mcdaniel, Cruz and Riley",Retail,Paid Social,Insurance risk surveyor,Belarus,False,2025-05-27
55eef865-1ce1-4376-8b21-8fac0604ce71,Kevin,Ward,charles98@example.com,Arnold PLC,Retail,Organic Search,Tax inspector,Myanmar,False,2025-05-27
2c4c47bf-9056-472f-811e-5e3c783e21bf,Natalie,Ramos,erica02@example.com,"Stevenson, Baker and Miller",Finance,Referral,Management consultant,Philippines,False,2025-05-27
219a8be8-8627-468d-8a79-c1c964806e81,Amy,Decker,kevin89@example.net,"Thompson, Fox and Cain",Retail,Event,Horticultural consultant,Holy See (Vatican City State),True,2025-05-27
37f5275f-de00-48e8-8f43-0ec019bd6e29,Brittany,Henry,gpage@example.org,"Newton, Coleman and Mcknight",Retail,Event,Fine artist,South Africa,False,2025-05-27
654ad48f-8f44-4ecf-ac79-699316eb85a2,Christopher,Horne,billyhines@example.org,Fletcher Group,Education,Paid Social,"Programmer, systems",Zimbabwe,False,2025-05-27
29743032-70f6-47ad-a7e4-301be38ef4e4,Kurt,Johnson,julie41@example.com,Cooley Inc,Healthcare,Web,Public relations officer,Bolivia,True,2025-05-27
