contact_id,first_name,last_name,email,company,industry,lead_source,job_title,country,opted_in,signup_date
9ea9d33b-4db1-40d1-a0b0-f7202fce40ae,Roger,Schultz,traviscarter@example.net,Hall Ltd,Education,Referral,Operational investment banker,Jordan,True,2025-05-26
708b52b3-8452-4065-9a22-a63c929b17a7,Ashley,Park,qreed@example.org,Newton-Williams,Finance,Email,"Designer, ceramics/pottery",Albania,True,2025-05-26
b2928eb4-2f2c-4d3d-ae17-747f975ac3ac,William,Bradford,ballen@example.com,"White, White and Smith",Finance,Referral,Tourism officer,New Zealand,True,2025-05-26
84412302-d986-4028-95a9-987415a0ce16,Kelsey,Jones,ijohnson@example.org,"Byrd, Fleming and Scott",Technology,Organic Search,Broadcast journalist,Svalbard & Jan Mayen Islands,True,2025-05-26
1fa0d3c0-d3e6-4ed0-be05-3e2e270405b6,Geoffrey,Edwards,aruiz@example.org,Ruiz-Howard,Finance,Organic Search,Multimedia programmer,Kyrgyz Republic,True,2025-05-26
a770ce35-9c92-4b34-9e00-fe702486ff9b,Lisa,Smith,dylan62@example.org,"Ramirez, Franco and Rodriguez",Technology,Paid Social,IT trainer,Cyprus,True,2025-05-26
6685433c-3078-40c0-8c2a-a7464bb3269a,Gabriella,Lester,hudsonjessica@example.net,"Malone, Peterson and Chambers",Technology,Event,Production manager,Maldives,False,2025-05-26
eaa4df03-3699-4fe3-b63e-6e7f9a78b911,Adam,Willis,tlee@example.net,"Nelson, Campbell and Jackson",Healthcare,Web,Broadcast presenter,South Georgia and the South Sandwich Islands,False,2025-05-26
f89e94c0-d79c-4229-884e-389864aecf08,Johnny,Ward,schneiderjason@example.com,Smith Inc,Education,Web,Musician,Norfolk Island,True,2025-05-26
4283416f-ca52-4cd9-be44-9fa86280cad6,Jeffrey,Hayes,lerickson@example.net,"Brewer, Reese and Thomas",Education,Email,Research scientist (physical sciences),Hungary,True,2025-05-26
769bae3f-a8ae-47e3-a4ce-8384c9bb5703,Caitlin,Martin,blakedaniels@example.com,Morgan-Ellis,Healthcare,Referral,Copy,Tunisia,True,2025-05-26
16fc723d-0e2e-4f3f-b4e5-8b0bdd6d9a5d,Meagan,Wilkinson,jacob88@example.org,Sharp Ltd,Technology,Referral,Visual merchandiser,Liechtenstein,False,2025-05-26
41d5a3da-42ea-4d03-84fe-f5229d266d1e,Sherri,Adams,bgay@example.com,Gonzalez LLC,Healthcare,Referral,Radio broadcast assistant,Guinea-Bissau,True,2025-05-26
d6dd79bc-9730-4ab0-ab3c-e4e620765479,Geoffrey,Berry,vernoncampbell@example.net,Collins Inc,Technology,Paid Social,Chiropodist,Chile,True,2025-05-26
618b5893-bea5-410f-a62f-a7748be85084,John,Hill,bryan41@example.net,Banks Group,Healthcare,Email,Facilities manager,Gabon,False,2025-05-26
3fd6dede-c167-40c8-a0fe-f13258d99958,Margaret,Lambert,lisahunter@example.net,"Barnes, Todd and Simpson",Technology,Event,"Physicist, medical",Moldova,True,2025-05-26
56d5f4b4-5a89-4fe6-9b52-be965b49a860,Charles,Wilson,richard29@example.org,Webb-Davila,Education,Email,Control and instrumentation engineer,Moldova,True,2025-05-26
